Frame,x,y
155,70.408,32.897
156,70.066,33.339
157,69.833,33.59
158,70.548,33.483
159,70.312,34.02
160,70.719,34.363
161,70.247,35.25
162,70.03,35.308
163,70.182,35.859
164,69.768,35.874
165,69.257,35.792
166,69.053,35.674
167,68.621,35.422
168,69.108,35.281
169,69.335,34.965
170,69.133,35.555
171,68.406,36.83
172,68.614,37.14
173,68.592,37.475
174,68.079,38.03
175,67.068,38.633
176,66.845,38.409
177,67.078,38.324
178,67.445,38.142
179,67.428,38.586
180,67.304,38.769
181,67.67,38.881
182,67.593,38.765
183,67.342,38.944
184,66.404,39.751
186,67.812,41.372
187,67.776,41.865
188,67.828,41.625
189,67.359,41.676
190,66.279,40.962
191,65.805,40.594
192,66.208,39.668
193,66.349,39.379
194,65.661,39.654
195,65.118,39.942
196,64.527,40.449
197,64.406,40.645
198,64.821,40.788
199,65.657,40.698
200,65.552,39.604
201,65.429,38.93
202,65.181,38.584
203,65.108,39.156
204,65.25,38.939
205,65.391,38.673
206,66.122,39.072
207,66.786,39.08
208,66.108,38.198
209,65.872,38.165
210,66.035,38.368
211,65.579,38.666
212,64.761,38.409
213,64.471,38.436
214,64.354,38.332
215,63.479,38.555
216,63.308,39.214
217,63.03,39.487
218,63.545,39.692
219,64.093,40.747
220,63.526,40.114
221,63.839,40.35
222,63.937,40.305
223,63.865,39.993
224,63.796,40.256
225,63.556,39.723
226,63.551,39.88
227,63.617,39.958
228,63.511,39.917
229,63.671,39.851
230,63.437,39.387
231,63.324,39.32
232,63.157,39.342
233,62.693,39.475
234,62.494,39.884
235,63.002,40.421
236,62.758,40.661
237,62.461,40.385
238,61.591,41.289
239,62.15,41.491
240,61.446,41.711
241,60.785,42.346
242,61.226,42.233
243,61.098,42.412
244,61.199,42.17
245,60.748,42.377
246,60.715,41.817
247,61.629,42.168
248,62.217,42.495
249,61.705,41.933
250,62.261,42.106
251,61.67,42.163
252,61.764,41.477
253,61.918,41.674
254,61.635,41.131
255,61.909,40.174
256,61.818,39.978
257,62.68,39.912
258,62.813,40.078
259,63.151,41.342
260,64.157,42.18
261,64.402,41.681
262,64.033,41.834
263,64.48,41.794
264,65.251,42.796
265,65.304,43.24
266,66.067,42.645
267,66.109,42.506
268,65.647,42.279
269,65.93,42.404
270,66.249,41.951
271,66.625,41.685
272,67.323,41.341
273,67.149,41.216
274,66.779,41.652
275,67.36,42.13
276,67.557,41.898
277,67.032,42.534
278,66.612,43.224
279,66.093,43.482
280,65.771,43.126
281,66.042,43.29
282,65.518,43.259
283,65.244,42.594
284,64.675,41.887
285,64.168,41.115
286,63.869,39.493
287,63.777,39.024
288,63.8,38.627
289,64.59,38.235
290,64.139,37.709
291,64.379,38.51
292,65.144,39.208
293,64.531,38.781
294,64.573,38.485
295,64.373,38.458
296,64.257,38.646
297,64.461,38.537
298,65.134,38.67
299,65.777,38.557
300,65.312,38.691
301,65.057,38.748
302,64.707,38.831
303,64.223,38.821
304,64.016,38.736
305,63.55,39.681
306,62.187,40.816
307,62.122,41.329
308,61.577,40.981
309,61.718,41.072
310,61.21,41.171
311,61.643,40.943
312,62.247,40.464
313,62.68,40.46
314,63.026,40.353
315,63.393,40.086
316,63.374,39.836
317,63.674,39.96
318,63.426,39.767
319,63.354,40.715
