Trajectory	Frame	x	y	z
1	329	19.136	28.478	0
1	330	19.063	28.111	0
1	331	18.709	28.309	0
1	332	18.661	28.419	0
1	333	18.809	28.395	0
1	334	19.005	28.265	0
1	335	18.534	27.806	0
1	336	18.539	28.088	0
1	337	18.419	28.337	0
1	338	18.498	28.371	0
1	339	19.24	28.381	0
1	340	19.086	29.342	0
1	341	19.084	29.141	0
1	342	18.575	28.489	0
1	343	18.047	28.448	0
1	344	18.142	28.487	0
1	345	18.097	27.959	0
1	346	18.068	27.874	0
1	347	18.138	27.654	0
1	348	18.3	28.062	0
1	349	18.884	28.611	0
1	350	19.274	28.67	0
1	351	19.622	28.614	0
1	352	19.835	28.611	0
1	353	19.778	28.638	0
1	354	19.781	28.6	0
1	355	19.784	28.541	0
1	356	19.619	28.539	0
1	357	19.564	28.603	0
1	358	19.192	28.53	0
1	359	18.709	28.22	0
1	360	18.775	27.799	0
1	361	18.785	28.442	0
1	362	19.114	28.812	0
1	363	18.869	28.817	0
1	364	18.653	29.051	0
1	365	18.508	29.124	0
1	366	18.734	28.689	0
1	367	18.774	28.821	0
1	368	18.597	28.851	0
1	369	19.255	28.727	0
1	370	19.565	28.397	0
1	371	20.378	28.745	0
1	372	20.524	29.121	0
1	373	20.449	29.254	0
1	374	20.445	28.837	0
1	375	20.561	28.816	0
1	376	20.667	29.154	0
1	377	20.653	29.07	0
1	378	20.853	28.76	0
1	379	20.666	28.834	0
1	380	20.714	28.924	0
1	381	20.403	28.653	0
1	382	19.743	28.546	0
1	383	19.631	28.497	0
1	384	19.893	28.656	0
1	385	20.123	28.602	0
1	386	19.812	28.162	0
1	387	19.7	28.109	0
1	388	19.581	27.731	0
1	389	19.551	27.902	0
1	390	18.886	27.834	0
1	391	18.902	28.295	0
1	392	18.443	27.901	0
1	393	18.611	27.772	0
1	394	18.56	27.863	0
1	395	18.533	27.848	0
1	396	18.486	27.926	0
1	397	18.417	27.767	0
1	398	18.569	28.091	0
1	399	18.54	28.372	0
1	400	18.661	28.37	0
1	401	18.479	27.858	0
1	402	18.444	28.27	0
1	403	18.646	28.195	0
1	404	18.741	28.08	0
1	405	18.749	27.867	0
1	406	18.722	28.298	0
1	407	19.038	28.107	0
1	408	18.868	28.29	0
1	409	19.097	27.888	0
1	410	19.351	28.462	0
1	411	19.442	28.29	0
1	412	19.181	28.315	0
1	413	18.988	28.148	0
1	414	18.687	28.179	0
1	415	18.658	27.844	0
1	416	18.446	27.912	0
1	417	18.58	27.765	0
1	418	18.432	27.875	0
1	419	18.634	27.98	0
1	420	18.911	27.723	0
1	421	19.17	27.942	0
1	422	19.07	27.815	0
1	423	19.284	27.37	0
1	424	19.04	27.488	0
1	425	18.529	27.572	0
1	426	18.619	27.895	0
1	427	19.173	27.946	0
